Student_ID,Name,Gender,Study_Hours,Attendance,Math,Science,English
101,Aarav,M,5,92.0,85.0,88,79
102,Diya,F,4,89.0,78.0,91,84
103,Rohan,M,6,95.0,92.0,85,88
104,Ananya,F,3,82.0,72.0,79,81
105,Kabir,M,7,97.0,95.0,93,90
106,Meera,F,5,91.0,88.0,94,92
107,Arjun,M,2,76.0,65.0,70,68
108,Ishita,F,6,94.0,90.0,87,91
109,Aditya,M,4,85.0,76.0,82,75
110,Sara,F,8,98.0,96.0,95,97
111,Vivaan,M,3,80.0,70.0,74,72
112,Kiara,F,5,90.0,84.0,89,86
113,Reyansh,M,7,96.0,91.0,90,88
114,Myra,F,4,87.0,79.0,85,83
115,Dev,M,6,93.0,89.0,86,90
116,Aria,F,5,91.5,88.0,91,89
117,Rahul,M,4,85.0,86.0,79,82
118,Neha,F,5,92.0,86.0,90,88
