Student_ID,Name,Study_Hours,Attendance,Math,Science,English,Average_Marks,Result
101,Aarav,5,92.0,85.0,88,79,84.0,Pass
102,Diya,4,89.0,78.0,91,84,84.33333333333333,Pass
103,Rohan,6,95.0,92.0,85,88,88.33333333333333,Pass
104,Ananya,3,82.0,72.0,79,81,77.33333333333333,Pass
105,Kabir,7,97.0,95.0,93,90,92.66666666666667,Pass
106,Meera,5,91.0,88.0,94,92,91.33333333333333,Pass
107,Arjun,2,76.0,65.0,70,68,67.66666666666667,Pass
108,Ishita,6,94.0,90.0,87,91,89.33333333333333,Pass
109,Aditya,4,85.0,76.0,82,75,77.66666666666667,Pass
110,Sara,8,98.0,96.0,95,97,96.0,Pass
111,Vivaan,3,80.0,70.0,74,72,72.0,Pass
112,Kiara,5,90.0,84.0,89,86,86.33333333333333,Pass
113,Reyansh,7,96.0,91.0,90,88,89.66666666666667,Pass
114,Myra,4,87.0,79.0,85,83,82.33333333333333,Pass
115,Dev,6,93.0,89.0,86,90,88.33333333333333,Pass
116,Aria,5,91.5,88.0,91,89,89.33333333333333,Pass
117,Rahul,4,85.0,86.0,79,82,82.33333333333333,Pass
118,Neha,5,92.0,86.0,90,88,88.0,Pass
